"","x"
"1",1.52981626055241
"2",1.50094497014162
"3",1.61229238406718
"4",1.27124589703706
"5",1.49592538276009
"6",1.50235851086329
"7",1.60699927257081
"8",1.50937781838215
"9",1.27284900671322
"10",1.1475276892651
"11",1.32990767585508
"12",1.37776655425498
"13",1.41048329977692
"14",1.32634172782137
"15",1.48774785384647
"16",1.26737226692675
"17",1.2669026129131
"18",1.52275036758966
"19",1.68897291284697
"20",1.15440500911552
"21",1.32883630947964
"22",1.41399033264397
"23",1.45720802300456
"24",1.43634117962279
"25",1.54278868799056
"26",1.63769470954267
"27",1.25345084094282
"28",1.44965487508354
"29",1.54520678351601
"30",1.36217339040023
"31",1.39812887631306
"32",1.40322822890006
"33",1.52186437896615
"34",1.58222966468276
"35",1.24425746460613
"36",1.35231657014835
"37",1.57968400660249
"38",1.0622875613006
"39",1.57874746506514
"40",1.38031701428276
"41",1.46439212625486
"42",1.48953827895619
"43",1.47162713857847
"44",1.29394194959148
"45",1.83099344022252
"46",1.27991510985339
"47",1.31233679811224
"48",1.37300241634956
"49",1.50015376575313
"50",1.24242290850909
