"","x"
"1",1.46698048137595
"2",1.52609960801381
"3",1.53447157062014
"4",1.33849085217356
"5",1.47325896171562
"6",1.26959009007325
"7",1.38399719799162
"8",1.2236275597105
"9",1.51323979415417
"10",1.41736166386695
"11",1.51879082221834
"12",1.27893440358646
"13",1.46394674212791
"14",1.4787559819079
"15",1.35338312185664
"16",1.41086217081437
"17",1.37253540872043
"18",1.35546882383637
"19",1.65971600031916
"20",1.32959441655974
"21",1.34159151380686
"22",1.65404782296259
"23",1.3701804029163
"24",1.27151433658711
"25",1.38908455485683
"26",1.32663353841511
"27",1.24472697977395
"28",1.55164315950025
"29",1.5027647839903
"30",1.45973034337168
"31",1.2734145601397
"32",1.36553044528013
"33",1.54431240988078
"34",1.54752071496351
"35",1.40009399389282
"36",1.42459047843752
"37",1.19687651498069
"38",1.51683120835458
"39",1.46163369918496
"40",1.30507998770638
"41",1.21277064102632
"42",1.56459944167814
"43",1.31121817665573
"44",1.23683708568183
"45",1.22849714089678
"46",1.75540017355302
"47",1.35863649527387
"48",1.27727847129592
"49",1.42005823705424
"50",1.51578408756703
