"","x"
"1",1.40528313459323
"2",1.55055020811973
"3",1.57644006731578
"4",1.30610383042706
"5",1.48233636191415
"6",1.34960512719985
"7",1.27200234473361
"8",1.29201504204329
"9",1.2325398995295
"10",1.43830868857041
"11",1.49513140416547
"12",1.2645043881167
"13",1.2839151581795
"14",1.48565739540628
"15",1.24455939217959
"16",1.35287563315248
"17",1.28608404741416
"18",1.43720670964284
"19",1.48846858103436
"20",1.35806069408627
"21",1.44484310759263
"22",1.5524039131658
"23",1.35567306013622
"24",1.20636377764905
"25",1.62490955424339
"26",1.39590495105813
"27",1.39083355879689
"28",1.36163764948258
"29",1.40644537305287
"30",1.38056920658614
"31",1.3169977003267
"32",1.34404347366093
"33",1.42200011435382
"34",1.7342865089423
"35",1.35085179456232
"36",1.39792157157988
"37",1.25035134216956
"38",1.68893223671916
"39",1.39588454096256
"40",1.36581084856335
"41",1.37682924738134
"42",1.58327668186205
"43",1.22884968834696
"44",1.22420105439324
"45",1.3033442054208
"46",1.75731668573938
"47",1.31665653003834
"48",1.38497527997465
"49",1.50299282220681
"50",1.38351576026969
