"","x"
"1",1.49645718550477
"2",1.54823831170599
"3",1.70860089161221
"4",1.36665892152609
"5",1.5865827617096
"6",1.60664822035548
"7",1.59084088320789
"8",1.42380111661124
"9",1.33166257052714
"10",1.18807114442958
"11",1.22966649490243
"12",1.34235233654676
"13",1.41718235844839
"14",1.20672860826361
"15",1.39589412638612
"16",1.37641881913138
"17",1.31831682563226
"18",1.82325711403455
"19",1.615791724841
"20",1.26645556389897
"21",1.36449345896781
"22",1.58701417669978
"23",1.46085914776801
"24",1.35257673407479
"25",1.62660782037967
"26",1.48537233904108
"27",1.24275214298089
"28",1.55590998702189
"29",1.72918642736865
"30",1.25484952268672
"31",1.42865877862797
"32",1.30477337819465
"33",1.50904014879416
"34",1.46360546730981
"35",1.34709013044129
"36",1.44588839980801
"37",1.50301896748024
"38",1.10705456806118
"39",1.54526187810972
"40",1.40638649322289
"41",1.36987889640798
"42",1.57024137851602
"43",1.56367534997001
"44",1.36643074741811
"45",1.77697006126302
"46",1.30419018300683
"47",1.24269212559213
"48",1.27259451418696
"49",1.41467140931851
"50",1.30453394739359
